ticker,ticker_fullwidth,company_name
54610,５４６１０,中部鋼鈑
54630,５４６３０,丸一鋼管
54640,５４６４０,モリ工業
54710,５４７１０,大同特殊鋼
54800,５４８００,日本冶金工業
54810,５４８１０,山陽特殊製鋼
54820,５４８２０,愛知製鋼
55410,５５４１０,大平洋金属
55630,５５６３０,新日本電工
56020,５６０２０,栗本鐵工所
56310,５６３１０,日本製鋼所
56320,５６３２０,三菱製鋼
56590,５６５９０,日本精線
56980,５６９８０,エンビプロ・ホールディングス
57020,５７０２０,大紀アルミニウム工業所
57030,５７０３０,日本軽金属ホールディングス
57060,５７０６０,三井金属鉱業
57070,５７０７０,東邦亜鉛
57110,５７１１０,三菱マテリアル
57130,５７１３０,住友金属鉱山
57140,５７１４０,ＤＯＷＡホールディングス
57150,５７１５０,古河機械金属
57260,５７２６０,大阪チタニウムテクノロジーズ
57270,５７２７０,東邦チタニウム
57410,５７４１０,ＵＡＣＪ
57570,５７５７０,ＣＫサンエツ
58010,５８０１０,古河電気工業
58020,５８０２０,住友電気工業
58030,５８０３０,フジクラ
58050,５８０５０,ＳＷＣＣ
58210,５８２１０,平河ヒューテック
58300,５８３００,いよぎんホールディングス
58310,５８３１０,しずおかフィナンシャルグループ
58320,５８３２０,ちゅうぎんフィナンシャルグループ
58380,５８３８０,楽天銀行
58440,５８４４０,京都フィナンシャルグループ
58510,５８５１０,リョービ
58570,５８５７０,ＡＲＥホールディングス
59010,５９０１０,東洋製罐グループホールディングス
59020,５９０２０,ホッカンホールディングス
59090,５９０９０,コロナ
59110,５９１１０,横河ブリッジホールディングス
59290,５９２９０,三和ホールディングス
59300,５９３００,文化シヤッター
59320,５９３２０,三協立山
59330,５９３３０,アルインコ
59380,５９３８０,ＬＩＸＩＬ
59430,５９４３０,ノーリツ
59460,５９４６０,長府製作所
59470,５９４７０,リンナイ
59490,５９４９０,ユニプレス
59570,５９５７０,日東精工
